Date,Cobre,Zinco,Aluminio,Chumbo,Estanho,Niquel,Dolar
2012-04-11,8115.0,1985.5,2036.0,2019.0,22650.0,17925.0,1.8324999809265
2012-04-12,8185.0,2021.0,2070.0,2081.0,22625.0,18200.0,1.8345999717712
2012-04-13,8165.5,2012.5,2046.0,2073.0,22650.0,18400.0,1.8262000083923
2012-04-16,8054.0,1990.0,2027.0,2033.5,21650.0,17945.0,1.8373999595642
2012-04-17,8100.5,1988.5,2040.5,2066.0,21250.0,17755.0,1.8457000255585
2012-04-18,8085.0,1981.0,2028.5,2042.0,21170.0,17720.0,1.8583999872208
2012-04-19,8045.5,1985.0,2016.5,2039.5,21060.0,17605.0,1.877699971199
2012-04-20,8120.5,1999.5,2034.5,2100.0,21255.0,17750.0,1.8795000314713
2012-04-23,8125.0,1985.5,2011.5,2087.0,21065.0,17595.0,1.8717999458313
2012-04-24,8194.0,1988.5,2030.0,2080.0,21390.0,17600.0,1.8797999620438
2012-04-25,8285.5,1991.0,2040.0,2083.0,21700.0,17485.0,1.8792999982834
2012-04-26,8356.0,2012.5,2040.5,2113.0,22495.0,17965.0,1.878800034523
2012-04-27,8443.5,2032.0,2068.5,2127.0,22405.0,18255.0,1.8838000297546
2012-04-30,8529.5,2039.5,2058.0,2156.0,22625.0,17835.0,1.8860000371933
2012-05-01,8528.0,2049.0,2067.0,2150.5,22725.0,17525.0,1.9057999849319
2012-05-02,8401.0,2028.5,2064.5,2143.5,22250.0,17430.0,1.9063999652863
2012-05-03,8318.0,2000.5,2047.5,2104.5,22005.0,17380.0,1.9221999645233
2012-05-04,8296.0,1996.0,2048.0,2080.0,21775.0,17370.0,1.9098000526428
2012-05-07,,,,,,,1.9269000291824
2012-05-08,8234.0,1987.0,2026.0,2077.5,21340.0,17405.0,1.918799996376
2012-05-09,8089.0,1936.0,1987.0,2036.0,20850.0,17030.0,1.9378999471664
2012-05-10,8195.5,1944.0,2003.5,2063.0,20645.0,17135.0,1.9694999456406
2012-05-11,8080.0,1935.5,1992.0,2053.0,20255.0,17025.0,1.9520000219345
2012-05-14,7980.0,1920.0,1982.0,2026.5,20275.0,16980.0,1.9651999473572
2012-05-15,7854.0,1918.0,1979.5,2016.5,20200.0,16985.0,1.9925999641418
2012-05-16,7710.0,1913.5,1994.5,1973.0,19780.0,16950.0,1.9998999834061
2012-05-17,7708.0,1883.5,1987.0,1930.0,19450.0,16910.0,1.9994000196457
2012-05-18,7795.5,1921.0,2016.5,1950.0,19400.0,17105.0,2.0076999664307
2012-05-21,7800.5,1902.0,2004.0,1942.0,19450.0,16775.0,2.0220000743866
2012-05-22,7775.0,1900.0,1996.5,1928.5,19460.0,17030.0,2.0322999954224
2012-05-23,7630.5,1873.0,1975.0,1922.0,19305.0,16880.0,2.0873000621796
2012-05-24,7660.5,1867.5,1969.0,1934.0,19655.0,16915.0,2.0271000862122
2012-05-25,7695.5,1893.0,1979.5,1945.0,19850.0,16980.0,2.0274000167847
2012-05-28,7740.0,1901.0,1980.5,1933.5,19855.0,16980.0,1.9846999645233
2012-05-29,7685.5,1905.5,1979.5,1932.0,20100.0,16885.0,1.9818999767303
2012-05-30,7545.0,1887.0,1957.5,1912.5,19805.0,16390.0,1.9919999837875
2012-05-31,7517.0,1899.0,1973.5,1922.5,19725.0,16375.0,2.014899969101
2012-06-01,7364.0,1852.5,1937.0,1880.5,19330.0,16025.0,2.0253000259399
2012-06-04,,,,,,,2.0388000011444
2012-06-05,,,,,,,2.0529000759125
2012-06-06,7459.5,1897.0,1945.0,1907.5,19905.0,16060.0,2.0215001106262
2012-06-07,7480.5,1898.0,1947.0,1916.0,19620.0,16450.0,2.0315999984741
2012-06-08,7251.5,1873.5,1938.5,1884.0,19500.0,16335.0,2.029599905014
2012-06-11,7396.0,1881.0,1943.5,1895.0,19875.0,16815.0,2.0220000743866
2012-06-12,7384.0,1878.0,1926.0,1893.5,19650.0,17085.0,2.0636999607086
2012-06-13,7397.5,1885.0,1924.0,1883.0,19510.0,17085.0,2.0668001174927
2012-06-14,7376.5,1886.5,1924.5,1885.0,19455.0,16775.0,2.0708999633789
2012-06-15,7521.0,1908.0,1914.5,1914.5,19555.0,16610.0,2.0578000545502
2012-06-18,7475.5,1894.5,1882.0,1893.5,19430.0,16625.0,2.0481998920441
2012-06-19,7505.5,1876.5,1878.5,1885.5,19500.0,16675.0,2.0601000785828
2012-06-20,7555.5,1886.0,1879.5,1899.0,19525.0,17040.0,2.027899980545
2012-06-21,7426.0,1849.0,1842.0,1842.0,19195.0,16780.0,2.022500038147
2012-06-22,7320.0,1799.0,1823.5,1791.5,18375.0,16270.0,2.0622000694275
2012-06-25,7342.5,1799.0,1817.0,1792.5,18800.0,16330.0,2.0659999847412
2012-06-26,7347.0,1794.5,1810.5,1768.0,18600.0,16255.0,2.0603001117706
2012-06-27,7354.0,1759.5,1810.5,1744.0,18545.0,16180.0,2.0747001171112
2012-06-28,7421.0,1799.5,1832.5,1769.0,18845.0,16375.0,2.0745000839233
2012-06-29,7604.5,1843.0,1834.5,1796.0,18775.0,16475.0,2.0768001079559
2012-07-02,7647.5,1875.0,1867.0,1851.5,18935.0,16575.0,2.0086998939514
2012-07-03,7777.0,1905.0,1911.0,1900.5,19130.0,17105.0,1.9845999479294
2012-07-04,7695.5,1897.0,1930.0,1895.5,19095.0,17000.0,2.0083999633789
2012-07-05,7761.5,1895.0,1914.5,1901.5,19200.0,16915.0,2.0262999534607
2012-07-06,7600.0,1855.0,1888.0,1858.0,18905.0,16460.0,2.0186998844147
2012-07-09,7520.5,1840.0,1876.5,1839.5,18600.0,16245.0,2.0276000499725
2012-07-10,7556.0,1852.5,1890.0,1863.0,18675.0,16180.0,2.0313999652863
2012-07-11,7525.5,1836.0,1872.5,1861.5,18735.0,16165.0,2.0325000286102
2012-07-12,7510.0,1833.0,1835.5,1830.0,18475.0,15840.0,2.0352001190186
2012-07-13,7689.5,1870.0,1861.5,1874.5,18800.0,16155.0,2.0367000102997
2012-07-16,7636.0,1857.5,1862.0,1851.0,18745.0,15960.0,2.0373001098633
2012-07-17,7671.0,1885.5,1888.5,1889.0,18875.0,16125.0,2.0341000556946
2012-07-18,7596.0,1852.5,1868.5,1872.5,18700.0,15985.0,2.0206000804901
2012-07-19,7765.0,1883.0,1909.0,1920.5,19275.0,16180.0,2.0185000896454
